time,plastic,non metalic minerals,chemical,metal 1,metal 2,metal 3,total_demand,wind_output,pv_generation,,wind_output2,pv_generation2
2/1/2019 18:00,1.1152,942.827826813186,2.2811,323.0844,1.28E-210,278.1477,1547.45622681318,74.8553327311596,0,,74855.3327311596,-3.42
2/1/2019 19:00,1.8586,944.097122637362,4.9042,335.879699999999,8.00E-212,267.6515,1554.39112263736,118.487620805083,0,,118487.620805083,-3.42
2/1/2019 20:00,1.6727,945.366418461538,2.1671,332.6809,5.00E-213,272.8996,1554.78671846153,155.672199554802,0,,155672.199554802,-3.42
2/1/2019 21:00,0.32515,946.635714285714,2.5091,329.481999999999,3.12E-214,272.899599999999,1551.85156428571,170.858930343864,0,,170858.930343865,-3.42
2/1/2019 22:00,0.2670875,947.90501010989,2.6232,307.0899,1.95E-215,278.1477,1536.03289760989,191.198244585157,0,,191198.244585157,-3.42
2/1/2019 23:00,0.3716,949.174305934066,4.9042,307.09,1.22E-216,267.6515,1529.19160593406,197.889249533665,0,,197889.249533665,-3.42
2/2/2019 0:00,0.301925,950.443601758242,1.8249,291.0956,7.63E-218,278.1477,1521.81372675824,190.471523641774,0,,190471.523641774,-3.42
2/2/2019 1:00,0.32515,951.712897582418,2.7372,287.8968,4.77E-219,267.6515,1510.32354758241,184.658887760721,0,,184658.887760721,-3.42
2/2/2019 2:00,0.2670875,952.982193406594,4.5621,297.4933,2.98E-220,278.1477,1533.45238090659,182.469743017358,0,,182469.743017358,-3.42
2/2/2019 3:00,0.3716,954.25148923077,4.334,291.0956,1.86E-221,267.6515,1517.70418923077,150.929186540521,0,,150929.186540521,-3.42
2/2/2019 4:00,0.3716,955.520785054946,1.8249,294.294499999999,1.16E-222,278.1477,1530.15948505494,97.1906485015102,0,,97190.6485015102,-3.42
2/2/2019 5:00,0.2206375,956.790080879122,2.7372,291.0956,7.27E-224,272.8996,1523.74311837912,92.857066564422,0,,92857.066564422,-3.42
2/2/2019 6:00,0.3716,958.059376703298,4.7901,287.8968,4.55E-225,267.6515,1518.76937670329,101.263783363079,0,,101263.783363079,-3.42
2/2/2019 7:00,0.3716,959.328672527474,1.9389,291.0956,2.84E-226,278.1477,1530.88247252747,112.936267320723,0,,112936.267320723,-3.42
2/2/2019 8:00,0.32515,960.59796835165,2.3951,371.0671,1.78E-227,409.3494,1743.73471835165,115.523983512036,3.86028688093988,,115523.983512036,3860.28688093988
2/2/2019 9:00,1.8004875,961.867264175826,2.9655,399.8567,1.11E-228,278.1477,1644.63765167582,118.777058578854,6.46258990955016,,118777.058578854,6462.58990955016
2/2/2019 10:00,0.6040875,963.136560000002,4.562,291.0956,6.94E-230,346.3725,1605.7707475,111.680056874135,7.94980376187966,,111680.056874135,7949.80376187966
2/2/2019 11:00,0.6041,964.405855824178,2.2811,287.8968,4.33E-231,367.3648,1622.55265582417,86.0506470217178,8.60182450433505,,86050.6470217178,8601.82450433505
2/2/2019 12:00,0.88295,965.675151648354,2.7372,287.8968,2.71E-232,362.1168,1619.30890164835,59.6182423897529,8.72918571426019,,59618.2423897529,8729.18571426019
2/2/2019 13:00,0.4646,966.94444747253,2.9653,287.8968,1.69E-233,362.1168,1620.38794747253,31.5223916268403,8.15464261661211,,31522.3916268403,8154.64261661211
